LotArea,OverallQual,YearBuilt,TotalBsmtSF,GrLivArea,BedroomAbvGr,FullBath,GarageCars,Neighborhood,SalePrice
9056,10,1978,1657,1988,5,1,2,Rural,287540.0
13516,2,1955,1461,1699,5,1,2,Uptown,383905.0
13493,5,1998,2024,3992,2,1,3,Suburb_B,549227.0
3542,5,1989,2476,3372,3,1,1,Downtown,663448.0
15964,2,2014,790,3080,5,2,3,Downtown,569584.0
19575,5,2018,746,2756,5,2,2,Suburb_A,427979.0
8313,4,1976,2414,3288,4,2,3,Rural,401282.0
19924,1,1955,312,2145,3,2,3,Uptown,357571.0
15807,3,1962,537,1670,1,1,3,Suburb_B,266907.0
11580,1,2013,920,3026,3,3,2,Downtown,529023.0
19749,5,2011,1077,2450,3,2,3,Suburb_B,390791.0
10691,4,1968,1490,1719,3,2,0,Uptown,378570.0
9494,7,1992,2381,1557,5,1,2,Suburb_B,344730.0
6312,5,2023,797,702,5,1,3,Rural,168263.0
3324,10,1969,347,3539,2,1,0,Suburb_A,480570.0
5141,4,2017,272,3501,1,1,3,Suburb_B,416387.0
3810,2,1993,719,1769,4,3,1,Suburb_A,295470.0
8588,4,1972,1773,2503,3,3,3,Uptown,495533.0
7301,2,1951,684,3698,1,2,3,Suburb_A,447782.0
17485,8,1971,2126,2355,1,3,1,Suburb_B,420456.0
13714,3,2006,621,3177,2,2,2,Suburb_B,430085.0
6748,9,2021,2039,1278,4,2,1,Downtown,431973.0
11435,4,1956,946,2568,3,3,2,Suburb_B,373058.0
5709,6,2005,2405,1588,4,2,1,Suburb_A,355851.0
15116,10,2016,506,1705,2,1,3,Downtown,454159.0
11576,5,1965,1582,3075,5,2,3,Suburb_B,436711.0
12150,10,2000,243,2207,1,1,2,Suburb_B,368425.0
8530,1,2021,505,3469,3,3,2,Uptown,498197.0
12188,9,1961,421,2102,5,3,0,Downtown,492621.0
16683,1,2002,2264,2389,2,2,0,Uptown,461881.0
2504,8,1954,1872,1785,4,1,3,Uptown,453426.0
3214,9,1976,1192,1531,1,2,3,Uptown,375908.0
3531,9,1961,329,2025,3,3,0,Rural,245198.0
2823,1,1966,649,1661,5,2,0,Uptown,282967.0
19312,2,1955,1464,2578,5,2,2,Suburb_A,396628.0
7029,1,1954,390,3158,1,1,1,Suburb_B,331217.0
15428,10,2006,1519,3040,4,3,2,Rural,393468.0
18517,2,1977,380,2642,2,2,0,Uptown,425988.0
4105,10,2018,741,3360,4,1,3,Suburb_B,478343.0
5627,8,2008,2010,3141,4,2,0,Downtown,656814.0
14972,5,1982,819,3871,4,1,3,Downtown,668502.0
3852,7,2011,672,1878,1,1,3,Suburb_B,312884.0
6910,2,1999,1771,1802,1,2,3,Suburb_A,337145.0
13003,8,1968,1211,3194,2,3,3,Suburb_B,487140.0
15843,6,2018,929,1193,4,3,1,Suburb_B,277181.0
13704,8,2015,1539,3036,1,1,0,Rural,350375.0
17761,1,1996,912,2021,2,3,2,Downtown,385728.0
8190,1,1988,643,2805,2,1,3,Downtown,459580.0
19640,7,2017,426,1627,4,3,3,Uptown,374727.0
7645,8,1982,501,2814,3,2,2,Suburb_B,398300.0
11588,3,1962,729,1559,4,3,2,Suburb_B,286385.0
13829,5,2003,1283,3056,3,1,3,Suburb_A,446659.0
10053,1,1956,2118,3875,2,1,2,Downtown,644066.0
5330,7,1963,456,2841,1,3,2,Suburb_A,413216.0
10662,5,1968,2236,2882,5,2,1,Rural,322509.0
9114,8,2003,290,3365,2,1,2,Uptown,556387.0
15323,8,1969,919,1773,1,1,0,Suburb_A,356690.0
3353,9,1978,2339,3830,2,1,0,Downtown,729502.0
12975,7,1973,1969,3950,4,1,0,Rural,426384.0
13023,1,2012,755,1415,3,1,3,Suburb_B,245646.0
2667,3,2023,1658,1003,2,2,0,Rural,162258.0
11337,8,2006,1834,1492,1,3,1,Suburb_A,370857.0
15659,3,1957,1306,3325,4,2,0,Downtown,580034.0
5719,8,2011,1567,3982,5,2,3,Suburb_A,614051.0
9483,1,1978,1869,667,4,1,1,Suburb_B,206791.0
2539,5,2023,376,687,3,2,0,Suburb_B,166369.0
6964,4,1966,1179,2864,4,1,1,Downtown,548311.0
6835,5,2015,507,2648,5,2,1,Uptown,471623.0
8042,8,1955,1436,1758,1,1,3,Rural,272244.0
16837,10,2007,558,2320,2,1,3,Rural,288247.0
9312,4,2018,2307,1974,3,2,1,Suburb_B,356142.0
7320,4,1977,420,2787,5,2,0,Suburb_A,390312.0
15216,3,2011,1552,3265,3,3,3,Suburb_A,471281.0
4779,7,1990,303,2780,4,3,1,Uptown,464487.0
19308,3,2018,941,2243,3,3,2,Suburb_A,358706.0
3581,3,1990,1301,777,5,2,2,Rural,169261.0
14677,10,1998,1089,3457,2,2,3,Suburb_A,558505.0
7713,5,1998,2155,1981,2,1,0,Uptown,454489.0
18639,5,2020,2315,3027,3,3,2,Rural,386174.0
6804,6,1952,2269,1507,1,1,2,Suburb_A,340988.0
12136,8,1959,1827,3305,3,1,2,Rural,385743.0
2009,10,1984,1553,3097,4,1,0,Suburb_B,462710.0
7124,6,1951,692,1185,2,1,0,Suburb_B,230431.0
3015,1,1973,254,3110,2,3,3,Suburb_B,366361.0
4193,8,2023,1478,1589,2,1,3,Suburb_A,309393.0
10415,8,1987,2300,1731,1,2,2,Uptown,471567.0
15550,9,1971,256,2769,1,2,0,Rural,338389.0
16512,9,1975,2430,2664,5,2,1,Downtown,668539.0
6158,2,1992,441,1819,3,3,2,Suburb_B,260105.0
8970,2,2004,1881,2974,3,1,3,Suburb_B,413395.0
8938,3,1988,1113,917,4,3,0,Downtown,308971.0
15772,1,1978,2437,3456,2,1,3,Downtown,647220.0
12344,4,1969,581,2102,1,3,3,Suburb_A,329099.0
9266,4,1990,1735,2634,4,3,0,Rural,315260.0
10702,9,2003,18,3923,4,1,2,Suburb_B,499667.0
2384,9,1969,1124,2642,1,3,0,Uptown,519207.0
2404,9,1968,1380,1102,3,1,2,Suburb_A,273886.0
10175,10,2015,1565,2622,2,2,3,Suburb_A,480047.0
17158,7,1979,2080,718,3,2,0,Uptown,352598.0
14763,2,2002,1993,1309,4,2,1,Uptown,347510.0
11860,10,1983,1547,644,2,3,2,Uptown,344627.0
7989,5,1971,861,913,5,2,1,Downtown,322931.0
17106,4,2016,154,3850,4,1,2,Suburb_B,440145.0
19844,8,1955,904,1017,3,2,0,Downtown,355520.0
5636,2,1976,1269,3203,3,2,1,Suburb_B,407860.0
12916,6,1959,404,1701,3,3,0,Downtown,376859.0
6809,5,2022,843,925,1,1,2,Rural,212324.0
15456,2,1997,1782,2039,4,3,2,Suburb_B,362882.0
17444,10,2019,1564,2586,2,3,2,Suburb_A,476194.0
7997,1,2008,1184,3162,3,1,2,Suburb_B,361483.0
4048,8,2008,746,2861,3,3,3,Suburb_B,426130.0
14338,2,1951,1725,673,1,1,2,Suburb_B,189962.0
19100,7,1978,270,2202,2,2,1,Rural,293957.0
6544,9,2017,769,1108,4,1,2,Downtown,358376.0
6976,9,2014,1715,2979,5,1,0,Suburb_A,485145.0
14775,8,1975,1510,3764,1,1,3,Downtown,711257.0
12015,10,1959,171,1287,4,3,1,Downtown,390030.0
5419,9,2002,273,1256,5,1,3,Uptown,336856.0
16430,2,2008,2306,2142,3,1,3,Rural,329923.0
9239,6,1971,1158,1892,3,1,3,Uptown,405683.0
16489,4,2000,1706,1999,2,2,0,Rural,292557.0
18633,4,1997,1771,3675,5,1,3,Downtown,718979.0
12357,5,1970,421,3809,3,3,3,Downtown,654414.0
19154,3,1971,1444,3902,3,1,2,Rural,398991.0
6363,1,1979,1209,3247,2,1,0,Downtown,528965.0
12176,8,1974,2411,2152,4,2,1,Downtown,572254.0
19461,5,1977,2425,1675,3,1,1,Suburb_A,378900.0
10427,3,2014,579,924,1,3,1,Uptown,231255.0
10580,10,1994,890,1591,1,1,0,Uptown,360007.0
6858,7,2017,721,2593,4,3,1,Uptown,504821.0
12040,7,1956,880,1316,5,2,0,Suburb_B,281993.0
17254,1,1998,1121,3370,2,1,2,Suburb_A,427937.0
13470,9,1958,2007,876,1,2,2,Uptown,383466.0
3252,2,1985,2069,3183,1,1,0,Uptown,538877.0
8996,5,1950,1473,751,4,3,1,Suburb_A,252537.0
14173,5,1959,382,1554,5,2,0,Downtown,342669.0
6673,8,1985,2181,2106,5,1,0,Uptown,484365.0
17781,8,2022,1449,858,4,3,3,Downtown,398729.0
15051,7,1995,1590,2971,1,2,0,Uptown,578844.0
8881,7,1981,1786,3664,2,1,3,Rural,421994.0
8949,6,1981,143,1468,1,2,2,Suburb_B,286142.0
11521,6,1955,1886,1791,5,1,3,Uptown,419539.0
10017,9,1997,1702,1287,1,3,0,Rural,254326.0
8941,6,1987,1435,909,2,3,2,Suburb_A,238353.0
12209,2,1966,223,3450,3,2,3,Rural,332260.0
19715,2,2023,219,2102,1,2,0,Suburb_A,318634.0
11550,5,1976,178,3727,4,1,2,Uptown,582194.0
6637,4,2003,1654,3267,3,3,3,Suburb_A,488258.0
6854,2,1999,432,1072,4,1,0,Rural,114275.0
12320,3,1984,264,3967,4,3,0,Suburb_B,459478.0
6892,7,1974,953,3108,4,2,1,Downtown,591269.0
9043,8,1977,428,3995,1,1,1,Downtown,648726.0
18521,6,1964,2463,1413,5,1,3,Suburb_B,355757.0
6164,5,1953,2244,1445,3,3,3,Downtown,416203.0
9941,1,2022,1577,1764,2,3,3,Uptown,370087.0
16388,8,1976,479,1266,5,3,0,Uptown,364532.0
7569,3,1975,1353,2909,1,2,3,Rural,326777.0
6300,6,1968,889,2408,4,1,0,Rural,257056.0
8269,3,1966,924,2043,2,3,3,Suburb_A,313527.0
5818,7,1992,2170,2367,3,2,0,Rural,327789.0
14015,7,1990,1902,1864,5,3,0,Uptown,478110.0
14234,9,1991,1410,954,5,1,1,Rural,222679.0
8254,5,1999,1362,2472,2,3,2,Downtown,525166.0
19144,8,1989,777,2624,1,1,0,Suburb_A,419763.0
9350,10,1988,2395,3417,3,2,3,Suburb_A,546862.0
17183,10,1972,28,779,2,2,1,Uptown,276170.0
8238,8,2001,34,665,4,3,3,Rural,155185.0
8090,1,1996,1419,1419,3,1,3,Downtown,349632.0
13637,5,2012,588,1971,5,1,0,Rural,259548.0
14647,3,2018,903,770,2,1,0,Suburb_B,166732.0
11911,1,1992,2169,3121,5,3,2,Rural,369515.0
10472,4,1997,339,3181,5,1,0,Uptown,489821.0
5266,8,1983,174,1990,5,1,0,Rural,243850.0
2666,3,1989,1923,1730,1,1,2,Suburb_A,301280.0
6188,10,2010,1714,3086,5,1,3,Downtown,672150.0
19055,2,1999,596,1434,4,3,2,Uptown,342580.0
12161,9,2016,450,826,4,3,2,Suburb_B,253145.0
13314,10,2011,556,1041,3,1,2,Downtown,367384.0
14891,5,2007,1159,3043,5,1,1,Downtown,582036.0
6777,7,1982,1356,1327,5,2,3,Suburb_A,331754.0
5900,2,1965,2056,2204,2,2,1,Suburb_A,339416.0
15716,9,1997,2381,2731,1,1,1,Suburb_A,493453.0
8981,9,1959,1016,1636,3,1,0,Uptown,368792.0
8376,4,1987,2374,2432,5,2,2,Rural,334244.0
18907,4,1968,2062,2448,2,2,2,Downtown,574185.0
12160,6,1985,838,3340,1,1,1,Rural,345940.0
16124,10,2008,1637,1092,3,3,0,Rural,246045.0
18282,10,2012,225,3939,3,3,0,Suburb_A,583434.0
12488,10,1995,1813,2148,5,1,0,Rural,339942.0
7240,6,1952,2160,1743,3,1,3,Downtown,472545.0
12453,1,2023,2020,1569,2,2,1,Downtown,396431.0
12478,9,2014,1451,3000,3,2,3,Suburb_B,493531.0
14394,2,1957,2048,3728,4,3,0,Uptown,630400.0
6432,5,2000,2313,2687,2,1,0,Rural,328472.0
15568,9,2022,1514,1239,1,2,0,Uptown,391425.0
16178,4,1955,1231,772,1,3,2,Uptown,263109.0
19660,3,1988,1645,2170,5,3,1,Uptown,452857.0
2302,7,2009,1735,858,5,3,2,Uptown,333018.0
19022,6,1977,305,1116,4,2,3,Downtown,357019.0
2055,8,2003,2059,3377,1,2,2,Rural,384688.0
15013,3,1986,1723,1122,1,1,1,Suburb_B,265772.0
10717,5,1958,1689,2517,1,1,2,Uptown,471296.0
10150,10,2005,1517,3486,1,3,0,Suburb_B,493071.0
4125,4,2008,1391,2764,3,3,3,Downtown,551236.0
13479,4,1951,419,2831,2,2,3,Downtown,526035.0
17745,4,2010,2218,2529,2,2,0,Suburb_A,429970.0
18748,10,2007,133,1739,4,1,0,Uptown,381172.0
8809,8,2009,2030,2809,3,1,0,Suburb_A,484971.0
6621,6,1989,1450,3190,1,1,1,Suburb_B,425244.0
17034,3,1985,1553,3908,1,2,2,Rural,416096.0
15623,10,1986,1164,1438,5,3,3,Suburb_A,388474.0
7126,5,1967,1869,1689,5,1,2,Downtown,444346.0
7122,6,2012,1819,1693,4,1,0,Uptown,422864.0
19302,5,1971,1342,3094,1,2,0,Suburb_B,453043.0
7870,6,1960,1464,3063,4,1,2,Downtown,607999.0
3531,8,2007,2226,3179,3,3,3,Rural,406808.0
10172,7,2006,1079,3088,2,2,1,Uptown,563841.0
9673,5,1953,1178,3385,1,1,2,Rural,355639.0
8882,10,1956,1695,2569,3,1,0,Rural,350329.0
3906,6,2010,110,3111,1,2,0,Uptown,517153.0
5086,4,2003,2184,3043,5,2,1,Uptown,570189.0
15503,9,2017,2279,3358,4,1,2,Rural,417002.0
10152,4,1950,467,2174,5,3,1,Suburb_B,310583.0
7750,1,2004,813,2180,2,2,1,Uptown,358117.0
14772,7,1952,1272,3042,5,3,3,Downtown,628373.0
12267,7,1987,993,2973,1,1,3,Suburb_A,465039.0
3062,4,1950,2031,1714,5,3,0,Suburb_B,333483.0
19680,3,1987,322,1349,1,1,2,Uptown,287290.0
8229,8,1978,903,1693,2,1,3,Uptown,370432.0
18509,5,1954,1541,1789,5,1,0,Suburb_B,335654.0
17147,10,2023,1999,3289,4,1,2,Suburb_A,564219.0
6632,7,1970,1815,2861,4,3,0,Rural,359359.0
8288,4,2020,2476,2475,4,1,3,Downtown,568920.0
5596,4,2016,147,2387,5,1,0,Uptown,401623.0
13475,8,1996,1141,3016,5,3,2,Suburb_A,497444.0
8168,8,1984,849,2207,5,2,2,Downtown,488597.0
11795,2,2017,366,648,1,3,0,Suburb_B,130717.0
9561,2,2018,1089,1675,2,3,2,Uptown,348695.0
10258,3,1950,2038,1912,4,3,0,Rural,268946.0
18616,3,2017,174,2249,1,1,2,Suburb_B,304615.0
8371,1,1961,1854,3910,4,1,0,Uptown,610820.0
16369,3,2009,587,2780,1,1,0,Suburb_A,356385.0
14910,6,1976,494,3646,5,2,0,Downtown,622414.0
9943,8,2005,1137,3433,4,1,1,Downtown,654850.0
14199,10,1972,1784,1789,5,2,2,Uptown,486567.0
17728,6,1974,1170,1997,4,1,3,Suburb_B,352135.0
8738,5,1970,34,3020,3,3,0,Rural,296325.0
17913,4,2010,998,2428,1,1,1,Suburb_A,388464.0
4472,3,2012,1332,1078,3,2,3,Uptown,292796.0
17679,4,2001,1037,1431,1,2,0,Suburb_A,255192.0
3761,7,1974,373,3297,2,1,3,Downtown,554815.0
12167,1,2004,1451,2214,4,3,1,Rural,278344.0
12554,7,1995,1751,1281,2,1,3,Suburb_A,339133.0
19260,1,1981,2280,3335,2,1,0,Uptown,591543.0
16277,2,2004,704,1923,1,1,3,Rural,247545.0
5812,4,1954,562,681,3,3,3,Suburb_B,178671.0
19844,1,1985,1873,686,5,2,0,Uptown,284570.0
3605,9,1998,2123,2872,1,3,1,Suburb_A,477987.0
7622,6,2007,438,2663,5,2,1,Rural,265689.0
8767,1,1988,1883,1421,2,2,3,Uptown,319166.0
13613,1,2010,1979,762,5,2,2,Rural,177365.0
12589,6,1958,698,3161,3,3,3,Rural,329755.0
15918,4,1955,1312,2997,1,1,2,Rural,328163.0
15046,4,1984,1563,2532,3,1,3,Suburb_A,409385.0
4590,6,1988,691,3328,3,1,1,Uptown,542742.0
19447,7,1971,2300,2450,1,1,3,Downtown,588162.0
6324,9,1990,1200,2460,3,1,3,Downtown,547439.0
12787,10,1954,2457,1715,4,3,2,Suburb_A,427043.0
11111,5,1991,1634,2828,4,3,1,Suburb_A,439711.0
7342,9,2016,1633,3390,4,3,2,Rural,405008.0
18389,4,1979,126,3972,5,3,3,Uptown,582416.0
10659,10,2006,1506,3307,3,3,0,Uptown,649335.0
16043,2,2022,1191,3860,1,3,3,Suburb_B,515860.0
10837,3,1978,293,2482,1,3,3,Suburb_B,322862.0
2117,1,1986,1366,3985,5,1,2,Downtown,633348.0
15917,6,1962,1019,3140,1,2,0,Suburb_B,428456.0
16309,6,1981,2357,1522,4,3,0,Suburb_B,346127.0
15234,1,1995,418,2775,3,2,2,Downtown,481167.0
7560,3,1972,443,2049,1,3,1,Downtown,380694.0
2846,5,1994,684,2182,1,3,0,Suburb_B,264250.0
12954,3,1966,2283,1164,2,1,0,Uptown,323591.0
15703,10,2015,1462,3858,2,2,2,Suburb_B,538960.0
17385,3,1955,2261,3197,2,1,1,Rural,395003.0
15746,10,1967,84,3100,3,1,1,Rural,344064.0
8469,3,1971,1767,1070,4,2,3,Rural,209185.0
11333,5,1982,84,1587,4,1,3,Suburb_A,264084.0
18608,5,1979,1944,3385,4,3,2,Rural,426841.0
14819,4,1981,2112,2534,3,3,1,Uptown,537571.0
6208,1,1991,1669,823,3,3,2,Suburb_A,216529.0
8283,5,1959,662,2801,2,3,3,Suburb_A,428325.0
4048,10,1985,626,3207,1,3,2,Rural,364313.0
8233,5,1983,63,950,5,1,2,Suburb_B,169434.0
14941,4,2022,918,3818,5,1,0,Downtown,657495.0
14607,6,1977,1375,2528,1,3,0,Suburb_B,404446.0
11765,10,1960,1181,948,2,3,0,Suburb_B,275492.0
3828,4,1988,1612,781,1,1,3,Suburb_A,217505.0
3917,7,1996,490,1236,1,2,2,Suburb_A,276863.0
8988,7,1968,1878,1617,5,1,0,Suburb_A,332099.0
16594,2,1964,1940,2826,2,1,0,Uptown,464954.0
14977,3,1977,312,3710,3,1,0,Uptown,562141.0
2009,1,1973,918,1371,5,1,3,Downtown,275205.0
18644,8,2021,1882,3541,3,1,3,Suburb_A,571949.0
11865,9,1958,812,3674,2,2,2,Rural,395915.0
4219,4,1996,1489,1615,1,3,2,Suburb_A,324182.0
9041,6,1982,1326,2711,4,3,2,Uptown,543788.0
7287,9,2011,679,628,4,2,0,Suburb_A,210884.0
3619,6,1968,434,3019,2,3,1,Uptown,503989.0
10512,9,2016,681,2744,4,3,3,Suburb_A,475801.0
3342,4,2023,1158,2493,3,3,0,Rural,286070.0
12568,8,1989,1073,2065,4,2,0,Downtown,503574.0
16231,9,1996,1455,1826,2,2,2,Rural,316134.0
5490,4,2014,2387,3640,2,3,2,Uptown,643164.0
11310,5,1978,2394,2668,3,3,0,Suburb_B,438237.0
9984,8,1999,1370,3382,4,3,3,Rural,413958.0
19988,10,1962,648,1725,4,1,3,Suburb_A,343960.0
14219,6,1950,244,3717,1,1,0,Downtown,593591.0
2235,7,1983,2156,665,5,1,1,Suburb_A,245975.0
12161,3,1997,295,3250,2,2,1,Suburb_A,432504.0
3908,7,1997,2159,3835,1,3,3,Rural,433137.0
10567,8,1998,1612,1734,2,2,2,Downtown,481741.0
5530,10,2013,2390,937,1,2,1,Suburb_B,313064.0
7256,6,2010,2148,2770,5,2,1,Suburb_A,468911.0
10162,10,1978,1627,2328,1,3,2,Downtown,575597.0
7415,9,1988,27,1046,2,1,1,Suburb_B,209690.0
5391,6,1975,1985,3258,4,3,0,Suburb_A,497927.0
13157,9,1966,1560,3962,2,3,1,Downtown,756414.0
7951,4,2020,57,3318,3,2,2,Rural,313013.0
10007,8,1962,1521,3262,3,2,0,Suburb_A,505807.0
11064,4,2018,296,3544,3,2,1,Suburb_A,445874.0
17524,2,1975,2181,880,3,1,3,Downtown,372653.0
2077,10,1998,2296,3714,5,1,0,Suburb_A,593606.0
9577,9,2016,901,1195,4,1,0,Suburb_B,259304.0
18984,5,1956,1964,2586,4,3,3,Suburb_A,473485.0
16060,4,2007,1098,3350,2,2,3,Uptown,563395.0
19449,2,1998,1677,1674,1,3,1,Suburb_B,314773.0
12535,1,2002,1191,809,2,1,1,Downtown,240429.0
11510,7,2014,770,725,2,2,2,Suburb_B,191654.0
8943,6,2011,1526,1091,2,1,2,Uptown,334881.0
13954,2,1966,1378,3607,2,2,0,Uptown,544681.0
9804,8,1992,1248,1569,4,2,3,Suburb_A,354831.0
8565,4,1974,1554,1180,1,3,3,Suburb_A,279811.0
7984,8,1952,145,3424,2,3,2,Rural,343044.0
6670,7,1978,1983,2905,4,1,0,Suburb_B,474593.0
11184,5,1981,1264,1811,2,3,0,Rural,233785.0
4192,10,1975,1907,829,3,3,2,Uptown,358040.0
3248,10,1965,2391,788,2,3,2,Suburb_A,301556.0
13246,8,1974,1772,2657,2,2,2,Suburb_A,497872.0
14790,9,2003,1058,3785,5,3,1,Suburb_A,591904.0
5687,5,1977,2048,3747,3,1,0,Downtown,657008.0
6018,10,2022,2019,3323,1,2,0,Uptown,630824.0
13302,5,2005,152,1101,2,2,0,Suburb_A,208545.0
3970,2,2014,2476,2732,1,3,2,Uptown,510939.0
10389,5,1990,507,648,3,2,2,Suburb_A,179950.0
19586,3,2000,490,3485,2,1,2,Suburb_B,425736.0
17374,7,2020,344,3655,5,1,2,Uptown,624896.0
7788,10,1978,1935,1288,4,2,3,Rural,306000.0
7408,5,1968,1761,986,5,3,2,Downtown,339439.0
11446,8,2015,220,1569,5,3,1,Rural,222425.0
2922,1,1990,1938,1605,4,2,3,Uptown,360346.0
2419,3,1994,1942,2865,4,1,3,Suburb_A,408757.0
12789,3,1964,722,2324,4,2,2,Uptown,418114.0
3120,9,1952,527,2604,2,3,0,Downtown,511490.0
13260,5,1960,1522,3652,1,3,2,Uptown,632360.0
19334,9,2002,1664,3901,1,2,0,Suburb_A,603051.0
4336,9,1995,480,2902,4,1,2,Rural,320533.0
7373,1,1979,1871,2883,5,2,2,Suburb_B,401581.0
4243,2,2006,1462,3697,3,1,0,Rural,341504.0
6612,5,1967,1425,2207,4,1,0,Suburb_A,366384.0
15946,4,2000,344,3932,5,2,0,Suburb_A,524829.0
13104,10,1997,44,2389,5,2,0,Downtown,511736.0
15429,9,2015,2068,870,2,1,1,Uptown,372735.0
8371,7,1957,1657,722,2,1,0,Uptown,304862.0
8359,6,1971,1887,3303,1,1,2,Rural,412699.0
9863,7,1955,2095,1880,1,1,2,Suburb_B,365023.0
5228,1,2006,1514,2044,3,3,1,Suburb_B,317593.0
16382,1,1985,2334,858,3,2,0,Downtown,341582.0
4891,8,2006,1001,1547,3,1,2,Suburb_A,291303.0
5756,2,1998,1033,2694,3,2,1,Downtown,469562.0
17770,10,1994,2040,1462,5,1,2,Uptown,470067.0
18478,9,2015,273,1124,5,2,1,Suburb_A,304093.0
4674,7,1994,955,1487,1,2,1,Downtown,384561.0
8898,6,1969,1779,807,2,1,3,Rural,198458.0
12147,1,2013,380,3982,2,1,3,Uptown,551672.0
2793,1,2016,1352,3394,4,2,0,Suburb_B,389627.0
4116,2,1952,478,748,5,2,3,Downtown,214246.0
7779,6,2003,2062,1037,3,2,1,Uptown,342204.0
14298,6,2013,515,2802,3,3,2,Uptown,490980.0
16153,2,1989,190,3761,4,1,2,Suburb_B,450040.0
13111,1,2008,1191,2321,2,3,0,Suburb_B,342681.0
12789,10,2004,1160,957,3,3,3,Suburb_B,293779.0
13397,5,2011,2201,3845,2,1,0,Downtown,698625.0
14999,5,1953,1411,1840,4,1,1,Suburb_B,315001.0
2814,2,2009,271,2530,2,3,3,Rural,265233.0
18729,6,1979,142,1055,2,1,0,Uptown,277438.0
12541,9,1951,1912,3423,2,2,2,Suburb_B,516605.0
4443,2,2011,1092,2232,3,2,2,Uptown,396501.0
12457,10,1998,2294,1228,1,3,0,Suburb_A,337736.0
12380,2,1958,787,3870,5,3,0,Suburb_A,453514.0
9783,3,1980,2126,3479,2,1,0,Suburb_B,498773.0
13473,7,2010,1681,1085,2,1,1,Uptown,367268.0
19368,6,1997,622,3180,2,3,1,Suburb_A,467029.0
17328,8,1974,937,799,1,3,2,Suburb_B,248592.0
2827,8,1985,1118,970,4,2,1,Uptown,285852.0
9147,6,1957,616,1613,3,2,1,Suburb_B,289952.0
6451,10,2022,1031,2582,1,1,3,Uptown,503224.0
17343,3,2007,66,3500,2,2,1,Suburb_A,448178.0
15635,3,1994,190,2071,1,1,3,Suburb_B,289740.0
7959,1,2011,520,847,1,1,1,Suburb_A,158816.0
2126,7,1988,989,1387,1,1,2,Suburb_B,242707.0
10795,5,2007,1140,2911,4,2,0,Downtown,539065.0
13641,4,2013,2314,3729,5,3,2,Suburb_A,581041.0
9196,10,1993,1634,3973,3,3,1,Suburb_A,604594.0
13559,4,1978,1187,2678,4,2,0,Rural,310082.0
5368,4,2008,375,2121,4,3,0,Suburb_A,316378.0
5797,6,2020,652,1872,5,1,0,Uptown,345391.0
17114,8,1958,548,1204,4,3,3,Suburb_B,300835.0
15718,8,1955,1097,3942,1,2,2,Downtown,713869.0
3792,5,1978,72,2289,1,3,3,Uptown,398262.0
13053,6,2007,2355,2017,2,1,0,Uptown,450233.0
5476,4,1966,198,2420,4,1,2,Uptown,394750.0
5417,9,1965,1781,1101,2,2,2,Uptown,380036.0
3645,8,1952,571,3755,3,2,1,Downtown,615286.0
16755,10,1970,790,3533,1,2,3,Rural,398395.0
5072,10,2013,1638,1148,3,1,3,Suburb_A,313108.0
3854,1,1985,1831,1965,5,3,1,Uptown,406633.0
6662,2,2011,1855,1438,1,3,3,Suburb_A,301777.0
8514,9,1991,1510,2030,3,2,0,Suburb_A,417920.0
4708,8,1991,1174,2048,5,3,0,Uptown,450227.0
13694,3,2010,178,3764,3,3,3,Rural,374318.0
11524,8,1962,2244,1447,5,2,1,Suburb_A,390055.0
8456,1,1960,734,1213,5,2,2,Suburb_B,216158.0
6212,10,2003,2136,1011,1,1,3,Suburb_A,325726.0
15224,4,1965,798,3079,2,1,2,Uptown,498481.0
9970,3,1957,787,1277,5,1,1,Downtown,305659.0
18920,6,2008,208,758,5,1,2,Suburb_A,236628.0
3625,7,2006,492,2661,1,3,1,Rural,283484.0
12314,4,1989,1657,972,2,3,1,Suburb_B,263920.0
9973,7,2008,731,2872,4,1,0,Suburb_B,410105.0
10577,9,1951,1129,1696,4,1,0,Downtown,421306.0
10070,2,1959,1605,3920,2,2,1,Downtown,664330.0
10666,3,1993,593,3158,3,3,3,Suburb_A,430132.0
5600,5,1960,1215,1202,1,3,0,Uptown,293467.0
8783,3,1951,324,815,2,1,1,Rural,125852.0
15226,8,1999,978,2596,4,3,2,Suburb_B,418787.0
11146,10,1961,1749,2164,5,2,2,Downtown,571474.0
6971,8,1972,1850,2440,4,2,3,Rural,338074.0
15490,8,1967,1490,2562,5,3,2,Uptown,530314.0
19589,9,2011,893,3635,1,1,2,Suburb_B,515027.0
14951,4,2011,1390,3891,5,3,1,Suburb_B,517102.0
14312,5,1987,143,3487,2,2,2,Uptown,549064.0
3990,5,2016,383,1326,5,1,2,Suburb_B,247637.0
7299,8,1987,2263,1844,3,3,2,Uptown,479275.0
14997,7,2016,2371,3201,2,1,2,Suburb_B,501883.0
15472,9,2010,216,1665,1,1,1,Suburb_A,290148.0
6380,8,1950,1515,1275,2,2,2,Uptown,354052.0
6757,2,1994,2230,3520,3,1,3,Rural,378362.0
12395,10,1977,2317,882,1,3,0,Suburb_A,313601.0
18241,4,1970,1490,1681,4,1,3,Rural,272815.0
7588,6,1962,1635,3481,3,1,0,Suburb_B,476498.0
19350,2,1976,2352,3184,1,3,3,Rural,382306.0
6944,7,1956,1167,3744,5,2,0,Suburb_A,519844.0
15395,3,1971,110,2508,2,2,0,Uptown,399541.0
